(Proteins Complexes Compounds),Object ID,Gene
ferric coprogen outer membrane transport complex,CPLX0-7952,
DNA-binding transcriptional repressor YjjQ,G7947-MONOMER,yjjQ
DNA-binding transcriptional activator MlrA,EG12008-MONOMER,mlrA
putative inner membrane protein,G6758-MONOMER,ydcZ
DsbG<sub>reduced</sub>,DSBG-CPLX,
putative flavoprotein,G7436-MONOMER,ygcR
"1,4-dihydroxy-2-naphthoyl-CoA synthase",NAPHTHOATE-SYN-MONOMER,menB
DTDPDEHYDRHAMEPIM-MONOMER,DTDPDEHYDRHAMEPIM-MONOMER,rfbC
Lipid IV<sub>A</sub> palmitoyltransferase,CPLX0-1581,
3-dehydroquinate dehydratase,AROD-MONOMER,aroD
"HypD, scaffold protein for assembly of the Fe-(CN)<sub>2</sub>CO cofactor",EG10486-MONOMER,hypD
putative 4-oxalocrotonate tautomerase (4-OT),EG11761-MONOMER,pptA
antitoxin/DNA-binding transcriptional repressor YefM,CPLX0-7929,
KpLE2 phage-like element; putative acetyltransferase TopAI antitoxin YjhQ,G7917-MONOMER,yjhQ
cytochrome <i>bo</i><sub>3</sub> ubiquinol oxidase subunit II,CYOA-MONOMER,cyoA
Holliday junction branch migration complex subunit RuvB,EG10924-MONOMER,ruvB
purine nucleoside phosphorylase,DEOD-CPLX,
DNA-binding transcriptional activator RtcR,EG12356-MONOMER,rtcR
conserved protein YehS,EG12005-MONOMER,yehS
PHB domain-containing protein,G6265-MONOMER,qmcA
HslV hexamer,CPLX0-1162,
putative deoxycholate binding periplasmic protein,YGIS-MONOMER,ygiS
ferredoxin-type protein,NAPF-MONOMER,napF
FMN dependent NADH:quinone oxidoreductase,G6731-MONOMER,azoR
EF-P-lysine lysyltransferase,CPLX0-7889,
putative 3-oxo-tetronate 4-phosphate decarboxylase YgbL,G7419-MONOMER,ygbL
conserved protein CreA,EG11217-MONOMER,creA
DNA damage-inducible protein F,DINF-MONOMER,dinF
PspF DNA-binding transcriptional dual regulator,CPLX0-981,
arabinose:H<sup>+</sup> symporter,ARAE-MONOMER,araE
flagellar L-ring protein,FLGH-FLAGELLAR-L-RING,flgH
ATP-binding protein PhoH,EG11734-MONOMER,phoH
exodeoxyribonuclease VII,CPLX-3946,
DUF1328 domain-containing protein YtjA,MONOMER0-2697,ytjA
serine&mdash;tRNA ligase,SERS-MONOMER,serS
KpLE2 phage-like element; IS<i>4</i> putative transposase,G7900-MONOMER,insG
formate channel FocA,CPLX0-7843,
30S ribosomal subunit protein S8,EG10907-MONOMER,rpsH
fused 23S rRNA m<sup>2</sup>G2445 methyltransferase and 23S rRNA m<sup>7</sup>G2069 methyltransferase,G6488-MONOMER,rlmL
"RNA 2',3'-cyclic phosphodiesterase",EG12330-MONOMER,thpR
DLP12 prophage; crossover junction endodeoxyribonuclease RusA,CPLX0-8237,
helix-hairpin-helix 3 family protein,G6243-MONOMER,ybaV
G7167-MONOMER,G7167-MONOMER,arnC
FMN/FAD exporter,YEEO-MONOMER,yeeO
"<I>N,N'</I>-diacetylchitobiose-specific PTS enzyme II",CPLX-155,
phenylacetate degradation protein,G6712-MONOMER,paaD
"formate hydrogenlyase complex, hydrogenase 3 subunit HycG",HYCG-MONOMER,hycG
putative DNA-binding transcriptional regulator YgaV,G7397-MONOMER,ygaV
conserved DNA-binding protein,CPLX0-7816,
dethiobiotin synthetase,DETHIOBIOTIN-SYN-MONOMER,bioD
ATP-independent periplasmic chaperone,G6939-MONOMER,spy
ammonia/ammonium transporter,AMTB-MONOMER,amtB
hydroxyethylthiazole kinase,CPLX0-8211,
putative lipoprotein YidQ,EG11712-MONOMER,yidQ
DoxX family protein,G7615-MONOMER,yqjF
UPF0387 family protein YohO,MONOMER0-2681,yohO
biotin synthase,BIOTIN-SYN-CPLX,
&gamma;-glutamylamine cyclotransferase family protein YtfP,G7876-MONOMER,ytfP
type I restriction enzyme EcoKI methyltransferase component,EG10458-MONOMER,hsdM
50S ribosomal subunit protein L28,EG10886-MONOMER,rpmB
DinJ-YafQ antitoxin/toxin complex / DNA-binding transcriptional repressor,CPLX0-7787,
putative DNA-binding transcriptional regulator YfhH,EG12308-MONOMER,yfhH
Ni<sup>2+</sup>/Co<sup>2+</sup>/Mg<sup>2+</sup> transporter,CORA-MONOMER,corA
"2,3-dihydroxy-2,3-dihydrophenylpropionate dehydrogenase",PHENPRODIOLDEHYDROG-MONOMER,hcaB
peptidyl-lysine acetyltransferase,CPLX0-8189,
outer membrane protein YaiO,G6210-MONOMER,yaiO
"&beta;-1,6-galactofuranosyltransferase",EG11983-MONOMER,wbbI
ABC transporter family protein YddA,YDDA-MONOMER,yddA
aspartate kinase III,ASPKINIII-CPLX,
putative membrane protein,G6695-MONOMER,stfR
formate dehydrogenase O subunit &gamma;,FDOI-MONOMER,fdoI
NACGLCTRANS-MONOMER,NACGLCTRANS-MONOMER,murG
CP4-57 prophage; uncharacterized protein YfjT,G7372-MONOMER,yfjT
DNA-binding transcriptional repressor CytR,CPLX0-7740,
biosynthetic alanine racemase,ALARACEBIOSYN-MONOMER,alr
hydrogenase 1 cytochrome <i>b</i> subunit,HYAC-MONOMER,hyaC
sugar phosphatase YidA,EG11195-MONOMER,yidA
AsmA famly protein YicH,EG11684-MONOMER,yicH
<i>N</i>-acetylmuramic acid 6-phosphate etherase,CPLX0-7732,
putative transposase,MONOMER0-2662,ybfQ
"succinate:quinone oxidoreductase, membrane protein SdhC",SDH-MEMB1,sdhC
ferric citrate ABC transporter membrane subunit FecD,FECD-MONOMER,fecD
L-ribulose-5-phosphate 4-epimerase UlaF,G7860-MONOMER,ulaF
ssDNA-binding protein,CPLX0-8165,
50S ribosomal subunit protein L5,EG10868-MONOMER,rplE
formate dehydrogenase N subunit &gamma;,FDNI-MONOMER,fdnI
putrescine ABC exporter membrane protein SapC,SAPC-MONOMER,sapC
"2,3-diketo-L-gulonate reductase",EG12279-MONOMER,yiaK
sensory histidine kinase ArcB,ARCB-CPLX,
pyridoxal kinase 2,PDXY-MONOMER,pdxY
"succinate:quinone oxidoreductase, membrane protein SdhD",SDH-MEMB2,sdhD
DUF421 domain-containing protein YcaP,G6469-MONOMER,ycaP
carbamate kinase-like protein YahI,G6188-MONOMER,yahI
Skp periplasmic chaperone,CPLX0-7711,
aliphatic sulfonate ABC transporter ATP binding subunit,YCBE-MONOMER,ssuB
NAD-dependent dihydropyrimidine dehydrogenase subunit PreT,G7145-MONOMER,preT
tRNA cytosine<sup>32</sup> 2-sulfurtransferase TtcA,G6675-MONOMER,ttcA
"6-carboxy-5,6,7,8-tetrahydropterin synthase",CPLX0-8123,
putative inner membrane protein,G7356-MONOMER,yfjD
bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase,HMP-P-KIN-MONOMER,thiD
ADENYLATECYC-MONOMER,ADENYLATECYC-MONOMER,cyaA
2-amino-3-ketobutyrate CoA ligase,AKBLIG-CPLX,
flagellar biosynthesis protein FliH,EG11656-MONOMER,fliH
putative oxidoreductase with FAD/NAD(P)-binding domain,G6922-MONOMER,ydiS
UV inducible membrane toxin DinQ,MONOMER0-1941,dinQ
UDP-N-acetylglucosamine acyltransferase,UDPNACETYLGLUCOSAMACYLTRANS-CPLX,
oligoribonuclease,G7842-MONOMER,orn
protein YgjJ,G7598-MONOMER,ygjJ
ribosomal protein S6 modification protein,EG10852-MONOMER,rimK
NAD<sup>+</sup>-dependent succinate semialdehyde dehydrogenase,CPLX0-7687,
"endo-1,4-D-glucanase",EG12258-MONOMER,bcsZ
transcription elongation factor GreA,EG10415-MONOMER,greA
DNA-binding transcriptional repressor GlpR,PD03576,glpR
methyl-accepting chemotaxis protein - dipeptide-sensing,CPLX0-8104,
sensory histidine kinase QseC,EG12658-MONOMER,qseC
ubiquinone biosynthesis accessory factor UbiJ,EG11474-MONOMER,ubiJ
CHORPYRLY-MONOMER,CHORPYRLY-MONOMER,ubiC
putative ribosomal protein,G6167-MONOMER,ykgM
acetylornithine deacetylase,ACETYLORNDEACET-CPLX,
putative major facilitator superfamily transporter YaaU,YAAU-MONOMER,yaaU
alkyl sulfatase,EG11955-MONOMER,yjcS
outer membrane porin G,G6657-MONOMER,ompG
triose-phosphate isomerase,TPI,
stationary phase inducible protein CsiE,G7329-MONOMER,csiE
putative PTS enzyme IIC component FryC,MONOMER0-6,fryC
<i>N</i>-acetylneuraminate lyase,ACNEULY-MONOMER,nanA
D-sedoheptulose 7-phosphate isomerase,CPLX0-7660,
phosphoethanolamine transferase EptA,EG11613-MONOMER,eptA
uncharacterized protein YhaC,EG11174-MONOMER,yhaC
"entericidin A lipoprotein, antidote to entericidin B",MONOMER0-1562,ecnA
acetylesterase,CPLX0-8033,
DNA-binding transcriptional repressor AlsR,G7821-MONOMER,alsR
periplasmic nitrite reductase penta-heme <i>c</i>-type cytochrome,CYTOCHROMEC-MONOMER,nrfB
ethanolamine ammonia-lyase subunit &beta;,EUTC-MONOMER,eutC
DNA repair protein RecO,EG10832-MONOMER,recO
"putative transport complex, ABC superfamily",ABC-60-CPLX,
23S rRNA m<sup>6</sup>A2030 methyltransferase,EG12234-MONOMER,rlmJ
RIBULP3EPIM-MONOMER,RIBULP3EPIM-MONOMER,rpe
DNA-binding transcriptional activator EnvY,PD00969,envY
"succinyl-CoA synthetase subunit &alpha;"" // ""succinyl-CoA synthetase subunit &beta;",SUCCCOASYN,
fatty acid/phospholipid synthesis protein,EG11437-MONOMER,plsX
23S rRNA m<sup>5</sup>U747 methyltransferase,G6449-MONOMER,rlmC
CP4-6 prophage; protein YagN,G6151-MONOMER,yagN
Fur-Fe<sup>2+</sup> DNA-binding transcriptional dual regulator,CPLX0-7639,
uridine phosphorylase,URPHOS-MONOMER,udp
DUF1508 domain-containing protein YegP,G7117-MONOMER,yegP
putative RNA-binding protein YciO,G6635-MONOMER,yciO
"putative oligopeptide ABC transporter ATP binding subunit"" // ""putative oligopeptide ABC transporter membrane subunit YejB"" // ""putative oligopeptide ABC transporter membrane subunit YejE"" // ""putative oligopeptide ABC transporter periplasmic binding protein",ABC-41-CPLX,
inibitor of reinitiation of DNA replication,G7313-MONOMER,hda
putative 3-phenylpropionate/cinnamate dioxygenase ferredoxin subunit,HCAC-MONOMER,hcaC
7-&alpha;-hydroxysteroid dehydrogenase,7-ALPHA-HYDROXYSTEROID-DEH-MONOMER,hdhA
ribonucleoside-diphosphate reductase 2,RIBONUCLEOSIDE-DIP-REDUCTII-CPLX,
nonspecific DNA-binding protein YbiB,EG11580-MONOMER,ybiB
fumarase D,G6903-MONOMER,fumD
hydrogenase 4 component E,MONOMER0-142,hyfE
ATP phosphoribosyltransferase,CPLX0-7614,
conserved protein YrhA,G7760-MONOMER,yrhA
conserved inner membrane protein YgiZ,G7577-MONOMER,ygiZ
phage shock protein D,EG10779-MONOMER,pspD
oligopeptide ABC transporter,ABC-22-CPLX,
putative fluoride efflux channel,EG12209-MONOMER,crcB
peptidoglycan DD-transpeptidase FtsI,EG10341-MONOMER,ftsI
DNA-binding transcriptional dual regulator LysR,PD00360,lysR
phosphoserine/phosphohydroxythreonine aminotransferase,PSERTRANSAM-CPLX,
phosphatidylserine decarboxylase proenzyme,PSD-MONOMER,psd
DUF615 domain-containing protein YjgA,EG11410-MONOMER,yjgA
periplasmic heme chaperone,CCME-MONOMER,ccmE
PerR transcriptional regulator,G6129-MONOMER,perR
polysaccharide export complex,CPLX0-7529,
UDP-<i>N</i>-acetylenolpyruvoylglucosamine reductase,UDPNACETYLMURAMATEDEHYDROG-MONOMER,murB
uncharacterized protein YjbL,EG11930-MONOMER,yjbL
putative isomerase/hydrolase,G6617-MONOMER,ycgM
6-phosphofructokinase II,6PFK-2-CPX,
putative carboxysome structural protein,G7286-MONOMER,eutN
putative lipoprotein RzoQ,MONOMER0-4369,rzoQ
1-phosphofructokinase,1-PFK-MONOMER,fruK
phosphate acetyltransferase,PHOSACETYLTRANS-CPLX,
RNase T,EG11547-MONOMER,rnt
ribosome maturation factor RimM,EG11153-MONOMER,rimM
3-hydroxyphenylpropionate/3-hydroxycinnamate:H<sup>+</sup> symporter,MHPT-MONOMER,mhpT
tRNA (cytidine/uridine-2'-<i>O</i>)-ribose methyltransferase,CPLX0-7421,
inner membrane protein - inhibits the Rcs signaling pathway,G7741-MONOMER,yrfF
50S ribosomal subunit protein L27,EG50002-MONOMER,rpmA
metalloprotease PmbA,EG10741-MONOMER,pmbA
DNA-binding transcriptional repressor LexA,PC00010,
phosphoenolpyruvate-protein phosphotransferase PtsP,EG12188-MONOMER,ptsP
dTDP-4-dehydro-6-deoxy-D-glucose transaminase,RFFTRANS-MONOMER,wecE
DNA-binding transcriptional repressor BetI,PD00251,betI
Xer site-specific recombination system,CPLX0-3959,
pyruvate formate-lyase (inactive),PYRUVFORMLY-INACTIVE-CPLX,
low activity glyoxalase ElbB,EG11383-MONOMER,elbB
fructose-6-phosphate aldolase 1,G6428-MONOMER,fsaA
"flagellar system protein, promoterless fragment",G6113-MONOMER,lfhA
<i>O</i>-succinylhomoserine(thiol)-lyase / <i>O</i>-succinylhomoserine lyase,O-SUCCHOMOSERLYASE-CPLX,
tyrosine&mdash;tRNA ligase,TYRS-MONOMER,tyrS
putative colanic acid biosynthesis protein WzxC,G7097-MONOMER,wzxC
"anti-adaptor protein IraM, inhibitor of &sigma;<sup>S</sup> proteolysis",G6600-MONOMER,iraM
dihydroneopterin aldolase,CPLX0-3936,
"putative structural protein, ethanolamine utilization microcompartment",G7270-MONOMER,eutK
glutamate-1-semialdehyde aminotransferase,GSAAMINOTRANS-MONOMER,hemL
PF15631 family protein YhhH,EG11520-MONOMER,yhhH
"NAD synthetase, NH<sub>3</sub>-dependent",NAD-SYNTH-CPLX,
methylglyoxal synthase,METHGLYSYN-MONOMER,mgsA
putative transporter YdhK,G6885-MONOMER,ydhK
fructoselysine 3-epimerase,G7724-MONOMER,frlC
4-(cytidine 5'-diphospho)-2-<i>C</i>-methyl-D-erythritol kinase,CPLX0-3841,
Xaa-Pro dipeptidase,EG10698-MONOMER,pepQ
putative ATP-binding protein YghT,G7552-MONOMER,yghT
nucleoside phosphorylase PpnP,EG12159-MONOMER,ppnP
L-xylulose kinase,LYXK-CPLX,
phosphoadenosine phosphosulfate reductase,PAPSSULFOTRANS-MONOMER,cysH
ferric coprogen/ferric rhodotorulic acid outer membrane transporter,EG10306-MONOMER,fhuE
"UDP-glucose:(glucosyl)LPS &alpha;-1,2-glucosyltransferase",EG11353-MONOMER,waaJ
hydrogenase isozymes nickel incorporation protein HypB,CPLX0-3561,
VOC domain-containing protein YaeR,G6095-MONOMER,yaeR
<i>trans</i>-but-2-enoyl-ACP,BUT-2-ENOYL-ACP,acpP
TREHALOSE6PSYN-MONOMER,TREHALOSE6PSYN-MONOMER,otsA
imidazoleglycerol-phosphate dehydratase / histidinol-phosphatase,IMIDHISTID-CPLX,
e14 prophage; uncharacterized protein YmfE,G6583-MONOMER,ymfE
phosphoethanolamine transferase EptC,EG11914-MONOMER,eptC
putative PTS enzyme IIB component FryB,G7250-MONOMER,fryB
pyridoxine 5'-phosphate synthase,CPLX0-321,
DNA adenine methyltransferase,EG11498-MONOMER,yhdJ
IS2 element transposase InsAB',MONOMER0-4257,insCD-4
MANNKIN-MONOMER,MANNKIN-MONOMER,
fused glutathionylspermidine amidase / glutathionylspermidine synthetase,GSP-CPLX,
Type II secretion system protein GspH,G7707-MONOMER,gspH
Qin prophage; mRNA interferase toxin RelE,EG11131-MONOMER,relE
O6-alkylguanine-DNA-alkyltransferase,EG10668-MONOMER,ogt
3-octaprenyl-4-hydroxybenzoate decarboxylase,CPLX0-301,
DNA-binding transcriptional dual regulator LrhA,EG12123-MONOMER,lrhA
peptidoglycan DD-carboxypeptidase/peptidoglycan DD-endopeptidase,EG12867-MONOMER,ampH
murein tripeptide ABC transporter / oligopeptide ABC transporter inner membrane subunit OppB,OPPB-MONOMER,oppB
glutamate decarboxylase B,GLUTDECARBOXB-CPLX,
NrdR transcriptional repressor,EG11320-MONOMER,nrdR
PYRDAMPTRANS-MONOMER,PYRDAMPTRANS-MONOMER,
thymidylate synthase,THYMIDYLATESYN-MONOMER,thyA
phenylhydantoinase,CPLX0-255,
DUF2655 domain-containing protein YceQ,G6563-MONOMER,yceQ
putative inner membrane protein,G6408-MONOMER,ybhQ
CPS-53 (KpLE1) prophage; protein YfdS,G7231-MONOMER,yfdS
UDP-<i>N</i>-acetylmuramate&mdash;L-alanine ligase,CPLX0-8014,
macrolide ABC exporter membrane fusion protein,MACA,macA
CP4-44 prophage; putative GTP-binding protein,G7079-MONOMER,yeeP
LysR-type transcriptional regulator AaeR,G7688-MONOMER,aaeR
glyceraldehyde-3-phosphate dehydrogenase A,GAPDH-A-CPLX,
ATP-binding lipopolysaccharide transport protein,EG10613-MONOMER,msbA
glycerophosphoryl diester phosphodiesterase,GLYCPDIESTER-PERI-MONOMER,glpQ
zinc-binding GTPase YeiR,EG12104-MONOMER,yeiR
DNA topoisomerase IV,CPLX0-2424,
NADH:quinone oxidoreductase subunit I,NUOI-MONOMER,nuoI
outer membrane porin family protein,G6866-MONOMER,uidC
enterobacterial common antigen polysaccharide co-polymerase,EG11295-MONOMER,wzzE
lipopolysaccharide transport system,CPLX0-7992,
thiamine monophosphate kinase,THI-P-KIN-MONOMER,thiL
membrane-bound lytic murein transglycosylase C,G7533-MONOMER,mltC
curli secretion channel,G6543-MONOMER,csgG
GTP cyclohydrolase 1,FOLE-CPLX,
DUF406 domain-containing protein YfcZ,G7214-MONOMER,yfcZ
evolved &beta;-D-galactosidase subunit &alpha;,EG10252-MONOMER,ebgA
branched chain amino acid/phenylalanine ABC transporter ATP binding subunit LivF,LIVF-MONOMER,livF
taurine dioxygenase,CPLX0-227,
DUF1889 domain-containing protein YoaC,G6994-MONOMER,yoaC
BCR-MONOMER,BCR-MONOMER,bcr
peptidoglycan glycosyltransferase MtgA,G7668-MONOMER,mtgA
NADH pyrophosphatase,CPLX0-7974,
peptidoglycan DD-endopeptidase/peptidoglycan LD-endopeptidase,EG10580-MONOMER,mepA
starvation lipoprotein,EG11890-MONOMER,slp
nucleoid-associated protein YejK,EG12048-MONOMER,yejK
"2,3-dihydroxybenzoate-AMP ligase",ENTE-CPLX,
NMNNUCLEOSID-MONOMER,NMNNUCLEOSID-MONOMER,
IS5 transposase and trans-activator,MONOMER0-4241,insH-11
putative magnesium chelatase YifB,EG11260-MONOMER,yifB
vitamin B12 outer membrane transport complex,CPLX0-1924,
L-fucose:H+ symporter,FUCP-MONOMER,fucP
modulator of FtsH protease,EG11113-MONOMER,yccA
quaternary ammonium compound efflux pump,SUGE-MONOMER,sugE
<i>N</i>-succinylarginine dihydrolase,CPLX0-7947,
putative aminoacrylate peracid reductase,G6521-MONOMER,rutC
"intermembrane phospholipid transport system, substrate binding protein MlaD",EG12799-MONOMER,mlaD
putative NAD-dependent epimerase YfcH,G7196-MONOMER,yfcH
"3,4-dihydroxy-2-butanone-4-phosphate synthase",DIOHBUTANONEPSYN-CPLX,
KUP-MONOMER,KUP-MONOMER,kup
PRPPSYN-MONOMER,PRPPSYN-MONOMER,prs
DNA-binding transcriptional repressor NimR,G6976-MONOMER,nimR
RNA-binding protein Hfq,CPLX0-1461,
putative FMN binding protein YhbP,G7648-MONOMER,yhbP
endonuclease VIII,G6383-MONOMER,nei
maltose outer membrane porin / phage lambda receptor protein,EG10528-MONOMER,lamB
ATP-independent periplasmic chaperone,CPLX0-7923,
sulfate/thiosulfate ABC transporter inner membrane subunit CysW,CYSW-MONOMER,cysW
sensory histidine kinase HprS,G7056-MONOMER,hprS
tRNA-dihydrouridine<sup>16</sup> synthase,EG12022-MONOMER,dusC
dCTP deaminase,DCTP-DEAM-CPLX,
"NarW, putative private chaperone for NarZ nitrate reductase subunit",NARW-MONOMER,narW
glutamate decarboxylase B,GLUTDECARBOXB-MONOMER,gadB
"pyridoxal phosphate/fructose-1,6-bisphosphate phosphatase",EG11239-MONOMER,ybhA
selenocysteine synthase,CPLX0-1141,
formate dehydrogenase H,FORMATEDEHYDROGH-MONOMER,fdhF
DUF1283 domain-containing protein YnfB,G6841-MONOMER,ynfB
acetohydroxy acid synthase I subunit IlvN,SMALLILVN-MONOMER,ilvN
glutathione hydrolase,CPLX0-7885,
DUF2057 domain-containing protein YccT,G6498-MONOMER,yccT
methylmalonyl-CoA decarboxylase,G7516-MONOMER,scpB
ribonuclease BN,G7175-MONOMER,rbn
tRNA adenosine<sup>34</sup> deaminase,CPLX0-901,
imidazoleglycerol-phosphate dehydratase / histidinol-phosphatase,IMIDPHOSPHADEHYDHISTIDPHOSPHA-MONOMER,hisB
DNA-binding transcriptional dual regulator DicA,EG10226-MONOMER,dicA
DUF1496 domain-containing protein YnjH,G6955-MONOMER,ynjH
sulfurtransferase complex TusBCD,CPLX-3942,
putative enamine/imine deaminase,G7626-MONOMER,tdcF
multidrug efflux pump RND permease subunit MdtC,B2076-MONOMER,mdtC
putative hydrogenase 1 maturation protease HyaD,EG10471-MONOMER,hyaD
cysteine sulfinate desulfinase,CPLX0-7838,
isocitrate dehydrogenase,ISOCITHASE-CPLX,
cyanase,CYANLY-MONOMER,cynS
frv operon protein,EG11862-MONOMER,frvX
DUF2574 domain-containing protein YehE,EG11991-MONOMER,yehE
carnitine monooxygenase,CPLX0-8232,
<i>N</i>-acetylglucosamine-6-phosphate deacetylase,NAG6PDEACET-MONOMER,nagA
IS1 protein InsA,MONOMER0-4225,insA-5
regulator of acetyl CoA synthetase,EG11208-MONOMER,arpA
cobinamide-P guanylyltransferase / cobinamide kinase,COBU-CPLX,
iron(III) hydroxamate ABC transporter membrane subunit,FHUB-MONOMER,fhuB
RNA polymerase holoenzyme assembly factor Crl,EG11092-MONOMER,crl
protein translocation ATPase,SECA,secA
coproporphyrinogen III oxidase,CPLX0-7808,
putative laminin-binding fimbrial subunit,G6480-MONOMER,elfA
lipopolysaccharide assembly protein B,EG12691-MONOMER,lapB
2-keto-3-deoxy-L-rhamnonate aldolase,G7158-MONOMER,yfaU
periplasmic acid stress chaperone,CPLX0-8207,
hydrogenase 1 large subunit,HYAB-MONOMER,hyaB
exopolyphosphatase,PPX-MONOMER,ppx
uncharacterized protein YniB,G6931-MONOMER,yniB
biotin carboxyl carrier protein (dimer),BCCP-CPLX,
putative membrane-bound redox modulator Alx,G7607-MONOMER,alx
chaperone protein HscC,G6357-MONOMER,hscC
ribosome rescue factor HflX,EG10437-MONOMER,hflX
bifunctional aconitate hydratase B and 2-methylisocitrate dehydratase,CPLX0-7761,
multidrug efflux pump MdfA (multifunctional),CMR-MONOMER,mdfA
DnaA initiator-associating factor for replication initiation,YRAO-MONOMER,diaA
conserved protein YhdN,EG11970-MONOMER,yhdN
galactitol-1-phosphate 5-dehydrogenase,CPLX0-8186,
LdrD peptide of the LdrD-RdlD toxin-antitoxin system,MONOMER0-921,ldrD
putative ferritin-like protein,G7033-MONOMER,ftnB
DUF2756 domain-containing protein YhhA,EG11184-MONOMER,yhhA
"aspartate carbamoyltransferase catalytic subunit"" // ""aspartate carbamoyltransferase, regulatory subunit",ASPCARBTRANS-CPLX,
"dodecenoyl-CoA &delta;-isomerase, enoyl-CoA hydratase, 3-hydroxybutyryl-CoA epimerase, 3-hydroxyacyl-CoA dehydrogenase",FADB-MONOMER,fadB
quinoprotein glucose dehydrogenase,GLUCDEHYDROG-MONOMER,gcd
"RNA polymerase, sigma 32 (sigma H) factor",RPOH-MONOMER,rpoH
16S rRNA m<sup>3</sup>U1498 methyltransferase,CPLX0-7727,
L-lysine exporter,G6458-MONOMER,lysO
Qin prophage; cold shock protein CspI,G6825-MONOMER,cspI
putative ADP-ribosylglycohydrolase YegU,G7131-MONOMER,yegU
succinate:quinone oxidoreductase subcomplex,CPLX0-8160,
"lysine/arginine/ornithine ABC transporter / histidine ABC transporter, membrane subunit HisM",HISM-MONOMER,hisM
molybdenum cofactor cytidylyltransferase,G7496-MONOMER,mocA
"1,4-dihydroxy-2-naphthoyl-CoA hydrolase",G6912-MONOMER,menI
"RNA polymerase, core enzyme",APORNAP-CPLX,
