bact:NRDG_ECOLI	Anaerobic ribonucleoside-triphosphate reductase-activating protein (EC 1.97.1.-) (Class III anaerobic ribonucleotide reductase small component)	uniprot:P0A9N8	nrdG yjgE b4237 JW4196
bact:NRFA_ECOLI	Cytochrome c-552 (EC 1.7.2.2) (Ammonia-forming cytochrome c nitrite reductase) (Cytochrome c nitrite reductase)	uniprot:P0ABK9	nrfA b4070 JW4031
bact:NRFB_ECOLI	Cytochrome c-type protein NrfB	uniprot:P0ABL1	nrfB yjcI b4071 JW4032
bact:NRFC_ECOLI	Protein NrfC	uniprot:P0AAK7	nrfC yjcJ b4072 JW4033
bact:NRFD_ECOLI	Protein NrfD	uniprot:P32709	nrfD yjcK b4073 JW4034
bact:NUDB_ECOLI	Dihydroneopterin triphosphate diphosphatase (EC 3.6.1.67) (Dihydroneopterin triphosphate pyrophosphatase) (dATP pyrophosphohydrolase)	uniprot:P0AFC0	nudB ntpA b1865 JW1854
bact:NUDC_ECOLI	NADH pyrophosphatase (EC 3.6.1.22)	uniprot:P32664	nudC yjaD b3996 JW5548
bact:NUDE_ECOLI	ADP compounds hydrolase NudE (EC 3.6.1.-)	uniprot:P45799	nudE yrfE b3397 JW3360
bact:NUDG_ECOLI	CTP pyrophosphohydrolase (EC 3.6.1.65)	uniprot:P77788	nudG ynjG b1759 JW1748
bact:NUDI_ECOLI	Nucleoside triphosphatase NudI (EC 3.6.1.9) (Nucleotide diphosphatase NudI) (Pyrimidine deoxynucleoside triphosphate diphosphatase) (dCTP diphosphatase) (EC 3.6.1.12) (dTTP diphosphatase) (EC 3.6.1.-) (dUTP diphosphatase) (EC 3.6.1.23)	uniprot:P52006	nudI yfaO b2251 JW2245
bact:NUDJ_ECOLI	Phosphatase NudJ (EC 3.6.1.-)	uniprot:P0AEI6	nudJ ymfB b1134 JW1120
bact:NUDK_ECOLI	GDP-mannose pyrophosphatase NudK (EC 3.6.1.-)	uniprot:P37128	nudK yffH b2467 JW2451
bact:NUOA_ECOLI	NADH-quinone oxidoreductase subunit A (EC 1.6.5.11) (NADH dehydrogenase I subunit A) (NDH-1 subunit A) (NUO1)	uniprot:P0AFC3	nuoA b2288 JW2283
bact:NUOB_ECOLI	NADH-quinone oxidoreductase subunit B (EC 1.6.5.11) (NADH dehydrogenase I subunit B) (NDH-1 subunit B) (NUO2)	uniprot:P0AFC7	nuoB b2287 JW5875
bact:NUOCD_ECOLI	NADH-quinone oxidoreductase subunit C/D (EC 1.6.5.11) (NADH dehydrogenase I subunit C/D) (NDH-1 subunit C/D) (NUO3/NUO4)	uniprot:P33599	nuoC nuoCD nuoD b2286 JW5375
bact:NUOE_ECOLI	NADH-quinone oxidoreductase subunit E (EC 1.6.5.11) (NADH dehydrogenase I subunit E) (NDH-1 subunit E) (NUO5)	uniprot:P0AFD1	nuoE b2285 JW2280
bact:NUOF_ECOLI	NADH-quinone oxidoreductase subunit F (EC 1.6.5.11) (NADH dehydrogenase I subunit F) (NDH-1 subunit F) (NUO6)	uniprot:P31979	nuoF b2284 JW2279
bact:NUOG_ECOLI	NADH-quinone oxidoreductase subunit G (EC 1.6.5.11) (NADH dehydrogenase I subunit G) (NDH-1 subunit G) (NUO7)	uniprot:P33602	nuoG b2283 JW2278
bact:NUOH_ECOLI	NADH-quinone oxidoreductase subunit H (EC 1.6.5.11) (NADH dehydrogenase I subunit H) (NDH-1 subunit H) (NUO8)	uniprot:P0AFD4	nuoH b2282 JW2277
bact:NUOI_ECOLI	NADH-quinone oxidoreductase subunit I (EC 1.6.5.11) (NADH dehydrogenase I subunit I) (NDH-1 subunit I) (NUO9)	uniprot:P0AFD6	nuoI b2281 JW2276
bact:NUOJ_ECOLI	NADH-quinone oxidoreductase subunit J (EC 1.6.5.11) (NADH dehydrogenase I subunit J) (NDH-1 subunit J) (NUO10)	uniprot:P0AFE0	nuoJ b2280 JW2275
bact:NUOK_ECOLI	NADH-quinone oxidoreductase subunit K (EC 1.6.5.11) (NADH dehydrogenase I subunit K) (NDH-1 subunit K) (NUO11)	uniprot:P0AFE4	nuoK b2279 JW2274
bact:NUOL_ECOLI	NADH-quinone oxidoreductase subunit L (EC 1.6.5.11) (NADH dehydrogenase I subunit L) (NDH-1 subunit L) (NUO12)	uniprot:P33607	nuoL b2278 JW2273
bact:NUOM_ECOLI	NADH-quinone oxidoreductase subunit M (EC 1.6.5.11) (NADH dehydrogenase I subunit M) (NDH-1 subunit M) (NUO13)	uniprot:P0AFE8	nuoM b2277 JW2272
bact:NUON_ECOLI	NADH-quinone oxidoreductase subunit N (EC 1.6.5.11) (NADH dehydrogenase I subunit N) (NDH-1 subunit N) (NUO14)	uniprot:P0AFF0	nuoN b2276 JW2271
bact:NUPC_ECOLI	Nucleoside permease NupC (Nucleoside-transport system protein NupC)	uniprot:P0AFF2	nupC cru b2393 JW2389
bact:NUPG_ECOLI	Nucleoside permease NupG (Nucleoside-transport system protein NupG)	uniprot:P0AFF4	nupG b2964 JW2932
bact:ODO1_ECOLI	2-oxoglutarate dehydrogenase E1 component (EC 1.2.4.2) (Alpha-ketoglutarate dehydrogenase)	uniprot:P0AFG3	sucA b0726 JW0715
bact:ODO2_ECOLI	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex (EC 2.3.1.61) (2-oxoglutarate dehydrogenase complex component E2) (OGDC-E2) (Dihydrolipoamide succinyltransferase component of 2-oxoglutarate dehydrogenase complex)	uniprot:P0AFG6	sucB b0727 JW0716
bact:ODP1_ECOLI	Pyruvate dehydrogenase E1 component (PDH E1 component) (EC 1.2.4.1)	uniprot:P0AFG8	aceE b0114 JW0110
bact:ODP2_ECOLI	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.12) (Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex) (E2)	uniprot:P06959	aceF b0115 JW0111
bact:OMPA_ECOLI	Outer membrane protein A (Outer membrane protein II*)	uniprot:P0A910	ompA con tolG tut b0957 JW0940
bact:OMPC_ECOLI	Outer membrane protein C (Outer membrane protein 1B) (Porin OmpC)	uniprot:P06996	ompC meoA par b2215 JW2203
bact:OMPF_ECOLI	Outer membrane protein F (Outer membrane protein 1A) (Outer membrane protein B) (Outer membrane protein IA) (Porin OmpF)	uniprot:P02931	ompF cmlB coa cry tolF b0929 JW0912
bact:OMPG_ECOLI	Outer membrane protein G	uniprot:P76045	ompG b1319 JW1312
bact:OMPL_ECOLI	Porin OmpL	uniprot:P76773	ompL yshA b3875 JW3846
bact:OMPN_ECOLI	Outer membrane protein N (Porin OmpN)	uniprot:P77747	ompN ynaG b1377 JW1371
bact:OPPA_ECOLI	Periplasmic oligopeptide-binding protein	uniprot:P23843	oppA b1243 JW1235
bact:OPPB_ECOLI	Oligopeptide transport system permease protein OppB	uniprot:P0AFH2	oppB b1244 JW1236
bact:OPPC_ECOLI	Oligopeptide transport system permease protein OppC	uniprot:P0AFH6	oppC b1245 JW1237
bact:OPPD_ECOLI	Oligopeptide transport ATP-binding protein OppD	uniprot:P76027	oppD b1246 JW1238
bact:OPPF_ECOLI	Oligopeptide transport ATP-binding protein OppF	uniprot:P77737	oppF b1247 JW1239
bact:OTC1_ECOLI	Ornithine carbamoyltransferase subunit I (OTCase-1) (EC 2.1.3.3)	uniprot:P04391	argI b4254 JW4211
bact:OTC2_ECOLI	Ornithine carbamoyltransferase subunit F (OTCase-2) (EC 2.1.3.3)	uniprot:P06960	argF b0273 JW0266
bact:OTNC_ECOLI	3-oxo-tetronate 4-phosphate decarboxylase (EC 4.1.1.-)	uniprot:Q46890	otnC ygbL b2738 JW2708
bact:OTSA_ECOLI	Trehalose-6-phosphate synthase (TPS) (EC 2.4.1.15) (Alpha,alpha-trehalose-phosphate synthase [UDP-forming]) (Osmoregulatory trehalose synthesis protein A) (OtsA) (UDP-glucose-glucosephosphate glucosyltransferase)	uniprot:P31677	otsA b1896 JW5312
bact:OTSB_ECOLI	Trehalose-6-phosphate phosphatase (TPP) (EC 3.1.3.12) (Osmoregulatory trehalose synthesis protein B) (Trehalose 6-phosphate phosphatase) (Trehalose-phosphatase)	uniprot:P31678	otsB b1897 JW1886
bact:OXC_ECOLI	Oxalyl-CoA decarboxylase (EC 4.1.1.8)	uniprot:P0AFI0	oxc yfdU b2373 JW2370
bact:P5CR_ECOLI	Pyrroline-5-carboxylate reductase (P5C reductase) (P5CR) (EC 1.5.1.2) (PCA reductase)	uniprot:P0A9L8	proC b0386 JW0377
bact:PA1_ECOLI	Phospholipase A1 (EC 3.1.1.32) (EC 3.1.1.4) (Detergent-resistant phospholipase A) (DR-phospholipase A) (Outer membrane phospholipase A) (OM PLA) (OMPLA) (Phosphatidylcholine 1-acylhydrolase)	uniprot:P0A921	pldA b3821 JW3794
bact:PAAA_ECOLI	1,2-phenylacetyl-CoA epoxidase, subunit A (EC 1.14.13.149) (1,2-phenylacetyl-CoA epoxidase, catalytic subunit alpha) (1,2-phenylacetyl-CoA monooxygenase, subunit A)	uniprot:P76077	paaA ydbO b1388 JW1383
bact:PAAB_ECOLI	1,2-phenylacetyl-CoA epoxidase, subunit B (1,2-phenylacetyl-CoA monooxygenase, subunit B)	uniprot:P76078	paaB ynbF b1389 JW1384
bact:PAAC_ECOLI	1,2-phenylacetyl-CoA epoxidase, subunit C (1,2-phenylacetyl-CoA epoxidase, structural subunit beta) (1,2-phenylacetyl-CoA monooxygenase, subunit C)	uniprot:P76079	paaC ydbP b1390 JW1385
bact:PAAD_ECOLI	Putative 1,2-phenylacetyl-CoA epoxidase, subunit D (1,2-phenylacetyl-CoA monooxygenase, subunit D)	uniprot:P76080	paaD ydbQ b1391 JW5217
bact:PAAE_ECOLI	1,2-phenylacetyl-CoA epoxidase, subunit E (EC 1.-.-.-) (1,2-phenylacetyl-CoA epoxidase, reductase subunit) (1,2-phenylacetyl-CoA monooxygenase, subunit E)	uniprot:P76081	paaE ydbR b1392 JW1387
bact:PAAF_ECOLI	2,3-dehydroadipyl-CoA hydratase (EC 4.2.1.17) (Enoyl-CoA hydratase)	uniprot:P76082	paaF ydbR b1393 JW1388
bact:PAAG_ECOLI	1,2-epoxyphenylacetyl-CoA isomerase (EC 5.3.3.18)	uniprot:P77467	paaG ydbT b1394 JW1389
bact:PAAH_ECOLI	3-hydroxyadipyl-CoA dehydrogenase (EC 1.1.1.-)	uniprot:P76083	paaH ydbU b1395 JW1390
bact:PAAJ_ECOLI	3-oxoadipyl-CoA/3-oxo-5,6-dehydrosuberyl-CoA thiolase (EC 2.3.1.174) (EC 2.3.1.223)	uniprot:P0C7L2	paaJ paaE ydbW b1397 JW1392
bact:PAAK_ECOLI	Phenylacetate-coenzyme A ligase (EC 6.2.1.30) (Phenylacetyl-CoA ligase) (PA-CoA ligase)	uniprot:P76085	paaK b1398 JW5218
bact:PAAZ_ECOLI	Bifunctional protein PaaZ [Includes: 2-oxepin-2(3H)-ylideneacetyl-CoA hydrolase (EC 3.3.2.12) (Oxepin-CoA hydrolase); 3-oxo-5,6-dehydrosuberyl-CoA semialdehyde dehydrogenase (EC 1.2.1.91)]	uniprot:P77455	paaZ maoC ydbN b1387 JW1382
bact:PABA_ECOLI	Aminodeoxychorismate synthase component 2 (ADC synthase) (ADCS) (EC 2.6.1.85) (4-amino-4-deoxychorismate synthase component 2) (Aminodeoxychorismate synthase, glutamine amidotransferase component)	uniprot:P00903	pabA b3360 JW3323
bact:PABB_ECOLI	Aminodeoxychorismate synthase component 1 (ADC synthase) (ADCS) (EC 2.6.1.85) (4-amino-4-deoxychorismate synthase component 1)	uniprot:P05041	pabB b1812 JW1801
bact:PABC_ECOLI	Aminodeoxychorismate lyase (EC 4.1.3.38) (4-amino-4-deoxychorismate lyase) (ADC lyase) (ADCL)	uniprot:P28305	pabC b1096 JW1082
bact:PAGP_ECOLI	Lipid A palmitoyltransferase PagP (EC 2.3.1.251) (Lipid A acylation protein)	uniprot:P37001	pagP crcA ybeG b0622 JW0617
bact:PANB_ECOLI	3-methyl-2-oxobutanoate hydroxymethyltransferase (EC 2.1.2.11) (Ketopantoate hydroxymethyltransferase) (KPHMT)	uniprot:P31057	panB b0134 JW0130
bact:PANC_ECOLI	Pantothenate synthetase (PS) (EC 6.3.2.1) (Pantoate--beta-alanine ligase) (Pantoate-activating enzyme)	uniprot:P31663	panC b0133 JW0129
bact:PAND_ECOLI	Aspartate 1-decarboxylase (EC 4.1.1.11) (Aspartate alpha-decarboxylase) [Cleaved into: Aspartate 1-decarboxylase beta chain; Aspartate 1-decarboxylase alpha chain]	uniprot:P0A790	panD b0131 JW0127
bact:PANE_ECOLI	2-dehydropantoate 2-reductase (EC 1.1.1.169) (Ketopantoate reductase) (KPA reductase) (KPR)	uniprot:P0A9J4	panE apbA b0425 JW0415
bact:PANF_ECOLI	Sodium/pantothenate symporter (Pantothenate permease)	uniprot:P16256	panF b3258 JW3226
bact:PAT_ECOLI	Putrescine aminotransferase (EC 2.6.1.82) (Putrescine--2-oxoglutaric acid transaminase) (PAT) (PATase)	uniprot:P42588	patA ygjG b3073 JW5510
bact:PBP7_ECOLI	D-alanyl-D-alanine endopeptidase (DD-endopeptidase) (EC 3.4.21.-) (Penicillin-binding protein 7) (PBP-7)	uniprot:P0AFI5	pbpG yohB b2134 JW5355
bact:PBPA_ECOLI	Penicillin-binding protein 1A (PBP-1a) (PBP1a) [Includes: Penicillin-insensitive transglycosylase (EC 2.4.1.129) (Peptidoglycan TGase); Penicillin-sensitive transpeptidase (EC 3.4.16.4) (DD-transpeptidase)]	uniprot:P02918	mrcA ponA b3396 JW3359
bact:PBPB_ECOLI	Penicillin-binding protein 1B (PBP-1b) (PBP1b) (Murein polymerase) [Includes: Penicillin-insensitive transglycosylase (EC 2.4.1.129) (Peptidoglycan TGase) (Peptidoglycan glycosyltransferase); Penicillin-sensitive transpeptidase (EC 3.4.16.4) (DD-transpeptidase)]	uniprot:P02919	mrcB pbpF ponB b0149 JW0145
bact:PBPC_ECOLI	Penicillin-binding protein 1C (PBP-1c) (PBP1c) [Includes: Penicillin-insensitive transglycosylase (EC 2.4.1.129) (Peptidoglycan TGase); Transpeptidase-like module]	uniprot:P76577	pbpC yfgN b2519 JW2503
bact:PCKA_ECOLI	Phosphoenolpyruvate carboxykinase (ATP) (PCK) (PEP carboxykinase) (PEPCK) (EC 4.1.1.49)	uniprot:P22259	pckA pck b3403 JW3366
bact:PDXA_ECOLI	4-hydroxythreonine-4-phosphate dehydrogenase (EC 1.1.1.262) (4-(phosphohydroxy)-L-threonine dehydrogenase)	uniprot:P19624	pdxA b0052 JW0051
bact:PDXB_ECOLI	Erythronate-4-phosphate dehydrogenase (EC 1.1.1.290)	uniprot:P05459	pdxB b2320 JW2317
bact:PDXH_ECOLI	Pyridoxine/pyridoxamine 5'-phosphate oxidase (EC 1.4.3.5) (PNP/PMP oxidase) (PNPOx) (Pyridoxal 5'-phosphate synthase)	uniprot:P0AFI7	pdxH b1638 JW1630
bact:PDXJ_ECOLI	Pyridoxine 5'-phosphate synthase (PNP synthase) (EC 2.6.99.2)	uniprot:P0A794	pdxJ b2564 JW2548
bact:PDXK_ECOLI	Pyridoxine/pyridoxal/pyridoxamine kinase (PN/PL/PM kinase) (EC 2.7.1.35) (B6-vitamer kinase) (Pyridoxal kinase 1) (PL kinase 1)	uniprot:P40191	pdxK yfeI b2418 JW2411
bact:PDXY_ECOLI	Pyridoxal kinase PdxY (PL kinase) (EC 2.7.1.35) (Pyridoxal kinase 2) (PL kinase 2)	uniprot:P77150	pdxY ydgS b1636 JW1628
bact:PEPB_ECOLI	Peptidase B (EC 3.4.11.23) (Aminopeptidase B)	uniprot:P37095	pepB yfhI b2523 JW2507
bact:PEPD_ECOLI	Cytosol non-specific dipeptidase (EC 3.4.13.18) (Aminoacyl-histidine dipeptidase) (Beta-alanyl-histidine dipeptidase) (Carnosinase) (Cysteinylglycinase) (Peptidase D) (Xaa-His dipeptidase) (X-His dipeptidase)	uniprot:P15288	pepD pepH b0237 JW0227
bact:PFKA_ECOLI	ATP-dependent 6-phosphofructokinase isozyme 1 (ATP-PFK 1) (Phosphofructokinase 1) (EC 2.7.1.11) (6-phosphofructokinase isozyme I) (Phosphohexokinase 1)	uniprot:P0A796	pfkA b3916 JW3887
bact:PFKB_ECOLI	ATP-dependent 6-phosphofructokinase isozyme 2 (ATP-PFK 2) (Phosphofructokinase 2) (EC 2.7.1.11) (6-phosphofructokinase isozyme II) (Phosphohexokinase 2)	uniprot:P06999	pfkB b1723 JW5280
bact:PFLA_ECOLI	Pyruvate formate-lyase 1-activating enzyme (EC 1.97.1.4) (Formate-C-acetyltransferase-activating enzyme 1) (PFL-activating enzyme 1)	uniprot:P0A9N4	pflA act b0902 JW0885
bact:PFLB_ECOLI	Formate acetyltransferase 1 (EC 2.3.1.54) (Pyruvate formate-lyase 1)	uniprot:P09373	pflB pfl b0903 JW0886
bact:PFLC_ECOLI	Pyruvate formate-lyase 2-activating enzyme (EC 1.97.1.4) (Formate-C-acetyltransferase-activating enzyme 2) (PFL-activating enzyme 2)	uniprot:P32675	pflC yijM b3952 JW3924
bact:PFLD_ECOLI	Formate acetyltransferase 2 (EC 2.3.1.54) (Pyruvate formate-lyase 2)	uniprot:P32674	pflD yijL b3951 JW3923
bact:PGK_ECOLI	Phosphoglycerate kinase (EC 2.7.2.3)	uniprot:P0A799	pgk b2926 JW2893
bact:PGM_ECOLI	Phosphoglucomutase (PGM) (EC 5.4.2.2) (Glucose phosphomutase)	uniprot:P36938	pgm b0688 JW0675
bact:PGPA_ECOLI	Phosphatidylglycerophosphatase A (EC 3.1.3.27) (Phosphatidylglycerolphosphate phosphatase A) (PGP phosphatase A)	uniprot:P18200	pgpA yajN b0418 JW0408
bact:PGPB_ECOLI	Phosphatidylglycerophosphatase B (EC 3.1.3.27) (Diacylglycerol pyrophosphate phosphatase) (DGPP phosphatase) (EC 3.1.3.81) (Phosphatidate phosphatase) (EC 3.1.3.4) (Undecaprenyl pyrophosphate phosphatase) (EC 3.6.1.27) (Undecaprenyl-diphosphatase)	uniprot:P0A924	pgpB b1278 JW1270
bact:PGSA_ECOLI	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase (EC 2.7.8.5) (Phosphatidylglycerophosphate synthase) (PGP synthase)	uniprot:P0ABF8	pgsA b1912 JW1897
bact:PHEA_ECOLI	P-protein [Includes: Chorismate mutase (CM) (EC 5.4.99.5); Prephenate dehydratase (PDT) (EC 4.2.1.51)]	uniprot:P0A9J8	pheA b2599 JW2580
bact:PHEP_ECOLI	Phenylalanine-specific permease	uniprot:P24207	pheP b0576 JW0565
bact:PHNN_ECOLI	Ribose 1,5-bisphosphate phosphokinase PhnN (EC 2.7.4.23) (Ribose 1,5-bisphosphokinase)	uniprot:P16690	phnN b4094 JW4055
bact:PHOE_ECOLI	Outer membrane pore protein E	uniprot:P02932	phoE ompE b0241 JW0231
bact:PHSG_ECOLI	Glycogen phosphorylase (EC 2.4.1.1)	uniprot:P0AC86	glgP glgY b3428 JW3391
bact:PHSM_ECOLI	Maltodextrin phosphorylase (EC 2.4.1.1)	uniprot:P00490	malP b3417 JW5689
bact:PITA_ECOLI	Low-affinity inorganic phosphate transporter 1	uniprot:P0AFJ7	pitA pit b3493 JW3460
bact:PITB_ECOLI	Probable low-affinity inorganic phosphate transporter 2	uniprot:P43676	pitB b2987 JW2955
bact:PLDB_ECOLI	Lysophospholipase L2 (EC 3.1.1.5) (Lecithinase B)	uniprot:P07000	pldB b3825 JW5584
bact:PLSB_ECOLI	Glycerol-3-phosphate acyltransferase (GPAT) (EC 2.3.1.15)	uniprot:P0A7A7	plsB b4041 JW4001
bact:PLSC_ECOLI	1-acyl-sn-glycerol-3-phosphate acyltransferase (1-AGP acyltransferase) (1-AGPAT) (EC 2.3.1.51) (EC 2.3.1.n4) (Lysophosphatidic acid acyltransferase) (LPAAT) (Phosphatidic acid synthase) (PA synthase)	uniprot:P26647	plsC parF b3018 JW2986
bact:PLSX_ECOLI	Phosphate acyltransferase (EC 2.3.1.n2) (Acyl-ACP phosphotransacylase) (Acyl-[acyl-carrier-protein]--phosphate acyltransferase) (Phosphate-acyl-ACP acyltransferase)	uniprot:P27247	plsX b1090 JW5156
bact:PLSY_ECOLI	Probable glycerol-3-phosphate acyltransferase (G3P acyltransferase) (GPAT) (EC 2.3.1.15) (EC 2.3.1.n5) (Lysophosphatidic acid synthase) (LPA synthase)	uniprot:P60782	plsY ygiH b3059 JW3031
bact:PNCA_ECOLI	Nicotinamidase (EC 3.5.1.19) (Nicotinamide deamidase) (NAMase) (Pyrazinamidase) (PZAase) (EC 3.5.1.-)	uniprot:P21369	pncA nam ydjB b1768 JW1757
bact:PNCB_ECOLI	Nicotinate phosphoribosyltransferase (NAPRTase) (EC 6.3.4.21)	uniprot:P18133	pncB b0931 JW0914
bact:PNTA_ECOLI	NAD(P) transhydrogenase subunit alpha (EC 1.6.1.2) (Nicotinamide nucleotide transhydrogenase subunit alpha) (Pyridine nucleotide transhydrogenase subunit alpha)	uniprot:P07001	pntA b1603 JW1595
bact:PNTB_ECOLI	NAD(P) transhydrogenase subunit beta (EC 1.6.1.2) (Nicotinamide nucleotide transhydrogenase subunit beta) (Pyridine nucleotide transhydrogenase subunit beta)	uniprot:P0AB67	pntB b1602 JW1594
bact:PNUC_ECOLI	Nicotinamide riboside transporter PnuC	uniprot:P0AFK2	pnuC b0751 JW0734
bact:POTA_ECOLI	Spermidine/putrescine import ATP-binding protein PotA (EC 3.6.3.31)	uniprot:P69874	potA b1126 JW1112
bact:POTB_ECOLI	Spermidine/putrescine transport system permease protein PotB	uniprot:P0AFK4	potB b1125 JW1111
bact:POTC_ECOLI	Spermidine/putrescine transport system permease protein PotC	uniprot:P0AFK6	potC b1124 JW1110
bact:POTD_ECOLI	Spermidine/putrescine-binding periplasmic protein (SPBP)	uniprot:P0AFK9	potD b1123 JW1109
bact:POTE_ECOLI	Putrescine transporter PotE (Putrescine-proton symporter / putrescine-ornithine antiporter)	uniprot:P0AAF1	potE b0692 JW0679
bact:POTF_ECOLI	Putrescine-binding periplasmic protein	uniprot:P31133	potF b0854 JW0838
bact:POTG_ECOLI	Putrescine transport ATP-binding protein PotG	uniprot:P31134	potG b0855 JW5818
bact:POTH_ECOLI	Putrescine transport system permease protein PotH	uniprot:P31135	potH b0856 JW0840
bact:POTI_ECOLI	Putrescine transport system permease protein PotI	uniprot:P0AFL1	potI b0857 JW0841
bact:POXB_ECOLI	Pyruvate dehydrogenase [ubiquinone] (EC 1.2.5.1) (Pyruvate oxidase) (POX) [Cleaved into: Alpha-peptide]	uniprot:P07003	poxB b0871 JW0855
bact:PPA_ECOLI	Periplasmic AppA protein [Includes: Phosphoanhydride phosphohydrolase (EC 3.1.3.2) (pH 2.5 acid phosphatase) (AP); 4-phytase (EC 3.1.3.26)]	uniprot:P07102	appA b0980 JW0963
bact:PPB_ECOLI	Alkaline phosphatase (APase) (EC 3.1.3.1)	uniprot:P00634	phoA b0383 JW0374
bact:PPK_ECOLI	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	uniprot:P0A7B1	ppk b2501 JW2486
bact:PPSA_ECOLI	Phosphoenolpyruvate synthase (PEP synthase) (EC 2.7.9.2) (Pyruvate, water dikinase)	uniprot:P23538	ppsA pps b1702 JW1692
bact:PPX_ECOLI	Exopolyphosphatase (ExopolyPase) (EC 3.6.1.11) (Metaphosphatase)	uniprot:P0AFL6	ppx b2502 JW2487
bact:PREA_ECOLI	NAD-dependent dihydropyrimidine dehydrogenase subunit PreA (DPD) (EC 1.3.1.1) (Dihydrothymine dehydrogenase) (Dihydrouracil dehydrogenase)	uniprot:P25889	preA yeiA b2147 JW2134
bact:PRET_ECOLI	NAD-dependent dihydropyrimidine dehydrogenase subunit PreT (DPD) (EC 1.3.1.1) (Dihydrothymine dehydrogenase) (Dihydrouracil dehydrogenase)	uniprot:P76440	preT yeiT b2146 JW2133
bact:PROA_ECOLI	Gamma-glutamyl phosphate reductase (GPR) (EC 1.2.1.41) (Glutamate-5-semialdehyde dehydrogenase) (Glutamyl-gamma-semialdehyde dehydrogenase) (GSA dehydrogenase)	uniprot:P07004	proA b0243 JW0233
bact:PROB_ECOLI	Glutamate 5-kinase (EC 2.7.2.11) (Gamma-glutamyl kinase) (GK)	uniprot:P0A7B5	proB b0242 JW0232
bact:PROP_ECOLI	Proline/betaine transporter (Proline porter II) (PPII)	uniprot:P0C0L7	proP b4111 JW4072
bact:PROV_ECOLI	Glycine betaine/proline betaine transport system ATP-binding protein ProV	uniprot:P14175	proV b2677 JW2652
bact:PROW_ECOLI	Glycine betaine/proline betaine transport system permease protein ProW	uniprot:P14176	proW b2678 JW2653
bact:PROX_ECOLI	Glycine betaine/proline betaine-binding periplasmic protein (GBBP)	uniprot:P0AFM2	proX proU b2679 JW2654
bact:PRPB_ECOLI	2-methylisocitrate lyase (2-MIC) (MICL) (EC 4.1.3.30) ((2R,3S)-2-methylisocitrate lyase)	uniprot:P77541	prpB yahQ b0331 JW0323
bact:PRPC_ECOLI	2-methylcitrate synthase (2-MCS) (MCS) (EC 2.3.3.5) ((2S,3S)-2-methylcitrate synthase) (Citrate synthase) (EC 2.3.3.16)	uniprot:P31660	prpC yahS yzzD b0333 JW0324
bact:PRPD_ECOLI	2-methylcitrate dehydratase (2-MC dehydratase) (EC 4.2.1.79) ((2S,3S)-2-methylcitrate dehydratase) (Aconitate hydratase) (ACN) (Aconitase) (EC 4.2.1.3)	uniprot:P77243	prpD yahT b0334 JW0325
bact:PSD_ECOLI	Phosphatidylserine decarboxylase proenzyme (EC 4.1.1.65) [Cleaved into: Phosphatidylserine decarboxylase alpha chain; Phosphatidylserine decarboxylase beta chain]	uniprot:P0A8K1	psd b4160 JW4121
bact:PSPE_ECOLI	Thiosulfate sulfurtransferase PspE (TST) (EC 2.8.1.1) (Phage shock protein E)	uniprot:P23857	pspE b1308 JW1301
bact:PSS_ECOLI	CDP-diacylglycerol--serine O-phosphatidyltransferase (EC 2.7.8.8) (Phosphatidylserine synthase)	uniprot:P23830	pssA pss b2585 JW2569
bact:PSTA_ECOLI	Phosphate transport system permease protein PstA	uniprot:P07654	pstA phoT b3726 JW3704
bact:PSTB_ECOLI	Phosphate import ATP-binding protein PstB (EC 3.6.3.27) (ABC phosphate transporter) (Phosphate-transporting ATPase)	uniprot:P0AAH0	pstB phoT b3725 JW3703
bact:PSTC_ECOLI	Phosphate transport system permease protein PstC	uniprot:P0AGH8	pstC phoW b3727 JW3705
bact:PSTS_ECOLI	Phosphate-binding protein PstS (PBP)	uniprot:P0AG82	pstS phoS b3728 JW3706
bact:PT1_ECOLI	Phosphoenolpyruvate-protein phosphotransferase (EC 2.7.3.9) (Phosphotransferase system, enzyme I)	uniprot:P08839	ptsI b2416 JW2409
bact:PTA_ECOLI	Phosphate acetyltransferase (EC 2.3.1.8) (Phosphotransacetylase)	uniprot:P0A9M8	pta b2297 JW2294
bact:PTFAH_ECOLI	Multiphosphoryl transfer protein (MTP) (Diphosphoryl transfer protein) (DTP) (Phosphotransferase FPr protein) (Pseudo-HPr) [Includes: Phosphocarrier protein HPr (Protein H); PTS system fructose-specific EIIA component (EC 2.7.1.202) (EIIA-Fru) (EIII-Fru) (Fructose-specific phosphotransferase enzyme IIA component)]	uniprot:P69811	fruB fpr fruF b2169 JW2156
